"_raw","_time","date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",dropped,eventtype,host,id,if,index,linecount,new,old,pid,process,punct,source,sourcetype,"splunk_server","splunk_server_group",timeendpos,timestartpos,uid,v
"Nov 21 08:27:10 10.0.200.1 Nov 21 17:27:00 /usr/sbin/cron[97686]: (root) CMD (/usr/sbin/newsyslog)","2025-11-21T08:27:10.000+0000",8,21,27,november,10,friday,2025,local,,,"10.0.200.1",,,pfsense,1,,,97686,"/usr/sbin/cron","__::_...___::_///[]:_()__(///)","udp:514",syslog,splunk,,15,0,,
"Nov 21 08:26:51 10.0.200.1 Nov 21 17:26:40 ntpd[68593]: Soliciting pool server 2605:e440:44::de","2025-11-21T08:26:51.000+0000",8,21,26,november,51,friday,2025,local,,,"10.0.200.1",,,pfsense,1,,,68593,ntpd,"__::_...___::_[]:____::::","udp:514",syslog,splunk,,15,0,,
"Nov 21 08:26:41 10.0.200.1 Nov 21 17:26:31 dhcp6c[11586]: Sending Solicit","2025-11-21T08:26:41.000+0000",8,21,26,november,41,friday,2025,local,,,"10.0.200.1",,,pfsense,1,,,11586,dhcp6c,"__::_...___::_[]:__","udp:514",syslog,splunk,,15,0,,
"Nov 21 08:26:06 10.0.200.1 Nov 21 17:26:00 filterlog[45725]: 126,,,1763541225,vmx3.2,match,pass,in,4,0x0,,128,52424,0,DF,6,tcp,52,10.0.102.3,150.171.43.11,56917,443,0,S,3150280066,,65535,,mss;nop;wscale;nop;nop;sackOK","2025-11-21T08:26:06.000+0000",8,21,26,november,6,friday,2025,local,,,"10.0.200.1",,,pfsense,1,,,45725,filterlog,"__::_...___::_[]:_,,,,.,,,,,,,,,,,,,,...,...,,,,,,","udp:514",syslog,splunk,,15,0,,
"Nov 21 08:26:05 10.0.200.1 Nov 21 17:26:00 /usr/sbin/cron[71431]: (root) CMD (/usr/sbin/newsyslog)","2025-11-21T08:26:05.000+0000",8,21,26,november,5,friday,2025,local,,,"10.0.200.1",,,pfsense,1,,,71431,"/usr/sbin/cron","__::_...___::_///[]:_()__(///)","udp:514",syslog,splunk,,15,0,,
"Nov 21 08:26:05 10.0.200.1 Nov 21 17:25:59 filterlog[45725]: 126,,,1763541225,vmx3.2,match,pass,in,4,0x0,,128,65179,0,DF,6,tcp,52,10.0.102.3,10.44.44.44,56916,80,0,S,1771205192,,65535,,mss;nop;wscale;nop;nop;sackOK","2025-11-21T08:26:05.000+0000",8,21,26,november,5,friday,2025,local,,,"10.0.200.1",,,pfsense,1,,,45725,filterlog,"__::_...___::_[]:_,,,,.,,,,,,,,,,,,,,...,...,,,,,,","udp:514",syslog,splunk,,15,0,,
"Nov 21 08:26:04 10.0.200.1 Nov 21 17:25:58 filterlog[45725]: 126,,,1763541225,vmx3.2,match,pass,in,4,0x0,,128,65178,0,DF,6,tcp,52,10.0.102.3,10.44.44.44,56916,80,0,S,1771205192,,65535,,mss;nop;wscale;nop;nop;sackOK","2025-11-21T08:26:04.000+0000",8,21,26,november,4,friday,2025,local,,,"10.0.200.1",,,pfsense,1,,,45725,filterlog,"__::_...___::_[]:_,,,,.,,,,,,,,,,,,,,...,...,,,,,,","udp:514",syslog,splunk,,15,0,,
"Nov 21 08:26:04 10.0.200.1 Nov 21 17:25:58 filterlog[45725]: 126,,,1763541225,vmx3.2,match,pass,in,4,0x0,,128,65177,0,DF,6,tcp,52,10.0.102.3,10.44.44.44,56916,80,0,S,1771205192,,65535,,mss;nop;wscale;nop;nop;sackOK","2025-11-21T08:26:04.000+0000",8,21,26,november,4,friday,2025,local,,,"10.0.200.1",,,pfsense,1,,,45725,filterlog,"__::_...___::_[]:_,,,,.,,,,,,,,,,,,,,...,...,,,,,,","udp:514",syslog,splunk,,15,0,,
"Nov 21 08:26:04 10.0.200.1 Nov 21 17:25:58 filterlog[45725]: 126,,,1763541225,vmx3.2,match,pass,in,4,0x0,,128,65176,0,DF,6,tcp,52,10.0.102.3,10.44.44.44,56915,80,0,S,3618062698,,65535,,mss;nop;wscale;nop;nop;sackOK","2025-11-21T08:26:04.000+0000",8,21,26,november,4,friday,2025,local,,,"10.0.200.1",,,pfsense,1,,,45725,filterlog,"__::_...___::_[]:_,,,,.,,,,,,,,,,,,,,...,...,,,,,,","udp:514",syslog,splunk,,15,0,,
"Nov 21 08:26:03 10.0.200.1 Nov 21 17:25:57 filterlog[45725]: 126,,,1763541225,vmx3.2,match,pass,in,4,0x0,,128,65175,0,DF,6,tcp,52,10.0.102.3,10.44.44.44,56916,80,0,S,1771205192,,65535,,mss;nop;wscale;nop;nop;sackOK","2025-11-21T08:26:03.000+0000",8,21,26,november,3,friday,2025,local,,,"10.0.200.1",,,pfsense,1,,,45725,filterlog,"__::_...___::_[]:_,,,,.,,,,,,,,,,,,,,...,...,,,,,,","udp:514",syslog,splunk,,15,0,,
