수준,날짜 및 시간,원본,이벤트 ID,작업 범주
정보,2025-11-21 오후 5:07:42,Service Control Manager,7040,없음,Background Intelligent Transfer Service 서비스의 시작 유형을 자동 시작에서 요청 시 시작(으)로 바꿨습니다.
정보,2025-11-21 오후 4:57:42,Microsoft-Windows-Power-Troubleshooter,1,없음,"시스템이 저전원 상태에서 복귀되었습니다.

절전 모드 시간: ‎2025‎-‎11‎-‎21T07:56:02.141441000Z
절전 모드 해제 시간: ‎2025‎-‎11‎-‎21T07:57:40.979877800Z

절전 모드 해제 원본: Unknown"
정보,2025-11-21 오후 4:57:42,Microsoft-Windows-Winlogon,7001,(1101),사용자 환경 개선 프로그램용 사용자 로그온 알림
정보,2025-11-21 오후 4:57:41,Microsoft-Windows-Kernel-Power,566,(268),"시스템 세션이 2에서 4 (으)로 전환되었습니다.

Reason WinRT 

BootId: 11"
정보,2025-11-21 오후 4:57:41,Microsoft-Windows-Kernel-Power,566,(268),"시스템 세션이 1에서 2 (으)로 전환되었습니다.

Reason SxTransition 

BootId: 11"
정보,2025-11-21 오후 4:57:40,Microsoft-Windows-Kernel-Boot,32,(58),bootmgr에서 사용자 입력을 기다리는 데 0ms를 사용했습니다.
정보,2025-11-21 오후 4:57:40,Microsoft-Windows-Kernel-Boot,18,(57),이 시스템에는 0x1개의 부팅 옵션이 있습니다.
정보,2025-11-21 오후 4:57:40,Microsoft-Windows-Kernel-Boot,247,(99),"Windows 펌웨어를 로드할 수 없습니다. StatusCode: STATUS_SUCCESS, 이유: Failed to apply firmware."
정보,2025-11-21 오후 4:57:40,Microsoft-Windows-Kernel-Boot,27,(33),부팅 유형은 0x1입니다.
정보,2025-11-21 오후 4:57:40,Microsoft-Windows-Kernel-Boot,25,(32),부팅 메뉴 정책은 0x1입니다.
정보,2025-11-21 오후 4:57:40,vmci,3,없음,VMCI: Using capabilities (0xc).

정보,2025-11-21 오후 4:57:40,Microsoft-Windows-Kernel-General,1,(5),"시스템 시간이 ‎2025‎-‎11‎-‎21T07:56:15.505035600Z.
시간 델타에서 ‎2025‎-‎11‎-‎21T07:57:40.500000000Z 변경되었습니다. 84994 변경 이유: System time synchronized with the hardware clock.


프로세스: ''(PID 4).

RTC 시간: ‎2025‎-‎11‎-‎21T16:57:40.500000000Z
현재 표준 시간대 보정: -540
RTC 시간은 UTC: false
시스템 시간을 기준으로 한 RTC 시간: false"
정보,2025-11-21 오후 4:56:15,Microsoft-Windows-Kernel-Power,107,(102),시스템이 절전 모드에서 다시 시작되었습니다.
정보,2025-11-21 오후 4:56:10,Microsoft-Windows-Kernel-Power,42,(64),"시스템이 절전 모드로 전환하는 중입니다.

절전 모드 전환 이유: Application API"
정보,2025-11-21 오후 4:56:02,Microsoft-Windows-Kernel-Power,566,(268),"시스템 세션이 0에서 1 (으)로 전환되었습니다.

Reason ScreenOffGracePeriod 

BootId: 11"
정보,2025-11-21 오후 4:56:02,Microsoft-Windows-Kernel-Power,187,(243),SetSuspendState 또는 SetSystemPowerState APIs를 호출하므로 시스템 상태를 변경하려는 사용자 모드 과정.
정보,2025-11-21 오후 4:56:01,Microsoft-Windows-Winlogon,7002,(1102),사용자 환경 개선 프로그램용 사용자 로그오프 알림
